Frequency (Hz)	Level (dB)
17441.894531	-29.932131
17484.960938	-29.801598
17528.027344	-30.032099
17571.093750	-30.018377
17614.160156	-29.882877
17657.226562	-29.855881
17700.292969	-29.539703
17743.359375	-29.308607
17786.425781	-29.671103
17829.492188	-30.150009
17872.558594	-30.009167
17915.625000	-29.378675
17958.691406	-30.048449
18001.757812	-29.436386
18044.824219	-29.467125
18087.890625	-30.692549
18130.957031	-30.331177
18174.023438	-29.948685
18217.089844	-29.698118
18260.156250	-29.990053
18303.222656	-29.894426
18346.289062	-29.618202
18389.355469	-29.254873
18432.421875	-29.189219
18475.488281	-29.993429
18518.554688	-30.614386
18561.621094	-30.452209
18604.687500	-29.918211
18647.753906	-29.660826
18690.820312	-29.422028
18733.886719	-29.418280
18776.953125	-29.448725
18820.019531	-29.409622
18863.085938	-29.660612
18906.152344	-29.280890
18949.218750	-29.244446
18992.285156	-29.450853
19035.351562	-29.394115
19078.417969	-29.748104
19121.484375	-29.590008
19164.550781	-30.008398
19207.617188	-29.877104
19250.683594	-30.106083
19293.750000	-30.141327
19336.816406	-30.328392
19379.882812	-30.147654
19422.949219	-29.875679
19466.015625	-30.100790
19509.082031	-30.339502
19552.148438	-30.029419
19595.214844	-29.622618
19638.281250	-29.247234
19681.347656	-29.846621
19724.414062	-30.280170
19767.480469	-30.489901
19810.546875	-29.407232
19853.613281	-29.777590
19896.679688	-30.875463
19939.746094	-30.317438
19982.812500	-30.087925
20025.878906	-30.217907
20068.945312	-30.085293
20112.011719	-29.450596
20155.078125	-29.197729
20198.144531	-29.607647
20241.210938	-29.390532
20284.277344	-29.334576
20327.343750	-29.401241
20370.410156	-29.350111
20413.476562	-29.917715
20456.542969	-29.985767
20499.609375	-29.666965
20542.675781	-29.674578
20585.742188	-30.210411
20628.808594	-30.196438
20671.875000	-29.598862
20714.941406	-29.507412
20758.007812	-29.621815
20801.074219	-30.253008
20844.140625	-30.113810
20887.207031	-29.772875
20930.273438	-29.666380
20973.339844	-29.231379
21016.406250	-29.921034
21059.472656	-29.859877
21102.539062	-29.809248
21145.605469	-29.914732
21188.671875	-30.126732
21231.738281	-29.862207
21274.804688	-29.750578
21317.871094	-30.034969
21360.937500	-29.774035
21404.003906	-29.947147
21447.070312	-29.690414
21490.136719	-29.597031
21533.203125	-29.947102
21576.269531	-30.930056
21619.335938	-30.276304
21662.402344	-29.477623
21705.468750	-29.363186
21748.535156	-29.336788
21791.601562	-29.465405
21834.667969	-29.381880
21877.734375	-29.274502
21920.800781	-30.111443
21963.867188	-30.815260
22006.933594	-30.501997
