Frequency (Hz)	Level (dB)
12833.789062	-125.128471
12876.855469	-125.373222
12919.921875	-124.633171
12962.988281	-124.603539
13006.054688	-124.253906
13049.121094	-125.606758
13092.187500	-125.238609
13135.253906	-125.156715
13178.320312	-125.156891
13221.386719	-124.372772
13264.453125	-124.414658
13307.519531	-125.721886
13350.585938	-125.458710
13393.652344	-125.443413
13436.718750	-125.020287
13479.785156	-123.924187
13522.851562	-124.430595
13565.917969	-124.912209
13608.984375	-125.391182
13652.050781	-126.055885
13695.117188	-125.357643
13738.183594	-123.285210
13781.250000	-124.083328
13824.316406	-125.198212
13867.382812	-125.445007
13910.449219	-125.386635
13953.515625	-125.865501
13996.582031	-124.337372
14039.648438	-124.499992
14082.714844	-124.661804
14125.781250	-125.075676
14168.847656	-125.445671
14211.914062	-124.892708
14254.980469	-125.020172
14298.046875	-125.511620
14341.113281	-125.220894
14384.179688	-125.715744
14427.246094	-125.347458
14470.312500	-125.694298
14513.378906	-125.326645
14556.445312	-125.681847
14599.511719	-125.894104
14642.578125	-125.678795
14685.644531	-125.769165
14728.710938	-124.382538
14771.777344	-124.184074
14814.843750	-125.604172
14857.910156	-124.867027
14900.976562	-125.934540
14944.042969	-125.894852
14987.109375	-124.341515
15030.175781	-124.829315
15073.242188	-125.480530
15116.308594	-125.471741
15159.375000	-125.691704
15202.441406	-125.996506
15245.507812	-125.883240
15288.574219	-126.029541
15331.640625	-125.856941
15374.707031	-125.166443
15417.773438	-125.618828
15460.839844	-125.399574
15503.906250	-124.759636
15546.972656	-125.798279
15590.039062	-125.691650
15633.105469	-125.329742
15676.171875	-125.577850
15719.238281	-125.255653
15762.304688	-124.599258
15805.371094	-125.697807
15848.437500	-125.156647
15891.503906	-125.572487
15934.570312	-125.660469
15977.636719	-125.044800
16020.703125	-124.716522
16063.769531	-125.325890
16106.835938	-125.223770
16149.902344	-125.123817
16192.968750	-125.660820
16236.035156	-125.612724
16279.101562	-126.168068
16322.167969	-125.320259
16365.234375	-124.603409
16408.300781	-125.104698
16451.367188	-125.872520
16494.433594	-125.177704
16537.500000	-125.551796
16580.566406	-125.733894
16623.632812	-125.544090
16666.699219	-125.132057
16709.765625	-124.915520
16752.832031	-124.020325
16795.898438	-125.429939
16838.964844	-125.364212
16882.031250	-125.617821
16925.097656	-125.911186
16968.164062	-125.092865
17011.230469	-124.108376
17054.296875	-125.112099
17097.363281	-125.462624
17140.429688	-125.797951
17183.496094	-125.625366
17226.562500	-125.372330
17269.628906	-125.079544
17312.695312	-125.492477
17355.761719	-125.380554
17398.828125	-125.398209
17441.894531	-125.473503
17484.960938	-125.502045
17528.027344	-125.635658
17571.093750	-126.073730
17614.160156	-125.829865
17657.226562	-125.439140
17700.292969	-125.468239
17743.359375	-124.205147
17786.425781	-125.311569
17829.492188	-125.529396
17872.558594	-125.181068
17915.625000	-125.145927
17958.691406	-124.847343
18001.757812	-123.992981
18044.824219	-124.820107
18087.890625	-125.347496
18130.957031	-125.540604
18174.023438	-125.523582
18217.089844	-125.628441
18260.156250	-125.673759
18303.222656	-125.716324
18346.289062	-125.736626
18389.355469	-125.938652
18432.421875	-125.128120
18475.488281	-125.159554
18518.554688	-125.744942
18561.621094	-126.196587
18604.687500	-125.713608
18647.753906	-125.738800
18690.820312	-125.302162
18733.886719	-124.516594
18776.953125	-125.076118
18820.019531	-124.996819
18863.085938	-124.940720
18906.152344	-125.965813
18949.218750	-125.843750
18992.285156	-124.386322
19035.351562	-124.985321
19078.417969	-125.083969
19121.484375	-125.140648
19164.550781	-125.407585
19207.617188	-125.862617
19250.683594	-125.216507
19293.750000	-125.707298
19336.816406	-125.929070
19379.882812	-125.332260
19422.949219	-125.284889
19466.015625	-125.987808
19509.082031	-126.009987
19552.148438	-125.599541
19595.214844	-125.497757
19638.281250	-125.648033
19681.347656	-125.305840
19724.414062	-125.154793
19767.480469	-125.199165
19810.546875	-125.405876
19853.613281	-125.116722
19896.679688	-125.582054
19939.746094	-125.894997
19982.812500	-124.326302
20025.878906	-124.615692
20068.945312	-125.289207
20112.011719	-125.266945
20155.078125	-125.426590
20198.144531	-125.211510
20241.210938	-125.495636
20284.277344	-125.398392
20327.343750	-125.179337
20370.410156	-125.150253
20413.476562	-125.489693
20456.542969	-125.677330
20499.609375	-125.176559
20542.675781	-125.530083
20585.742188	-125.559143
20628.808594	-125.531067
20671.875000	-125.544678
20714.941406	-125.082367
20758.007812	-124.562920
20801.074219	-124.988121
20844.140625	-124.942207
20887.207031	-125.228401
20930.273438	-125.473724
20973.339844	-125.470642
21016.406250	-125.212433
21059.472656	-125.373253
21102.539062	-125.297386
21145.605469	-125.393211
21188.671875	-125.826355
21231.738281	-125.962265
21274.804688	-125.812416
21317.871094	-125.559082
21360.937500	-125.288857
21404.003906	-125.853821
21447.070312	-125.784744
21490.136719	-125.501877
21533.203125	-125.926865
21576.269531	-125.668976
21619.335938	-125.980721
21662.402344	-125.683891
21705.468750	-125.088844
21748.535156	-124.524529
21791.601562	-125.361565
21834.667969	-125.393471
21877.734375	-125.351677
21920.800781	-125.781631
21963.867188	-125.261787
22006.933594	-124.452133
