Frequency (Hz)	Level (dB)
4080.541992	-98.420715
4091.308594	-101.663239
4102.075195	-104.673470
4112.841797	-107.260925
4123.608398	-109.536652
4134.375000	-111.847610
4145.141602	-113.554932
4155.908203	-115.681427
4166.674805	-116.895317
4177.441406	-118.785942
4188.208008	-119.745758
4198.974609	-121.330948
4209.741211	-122.382736
4220.507812	-122.683235
4231.274414	-124.699066
4242.041016	-124.758003
4252.807617	-125.406891
4263.574219	-126.596428
4274.340820	-127.403709
4285.107422	-125.850174
4295.874023	-127.318619
4306.640625	-127.489571
4317.407227	-127.579262
4328.173828	-127.042526
4338.940430	-127.461739
4349.707031	-126.651558
4360.473633	-129.303665
4371.240234	-127.018799
4382.006836	-128.209656
4392.773438	-129.203171
4403.540039	-127.403641
4414.306641	-128.072342
4425.073242	-127.714539
4435.839844	-127.325134
4446.606445	-128.128754
4457.373047	-129.409103
4468.139648	-128.165482
4478.906250	-128.902649
4489.672852	-128.382294
4500.439453	-127.176476
4511.206055	-128.488525
4521.972656	-128.621414
4532.739258	-129.124298
4543.505859	-129.139877
4554.272461	-128.600327
4565.039062	-129.020325
4575.805664	-130.467941
4586.572266	-127.097618
4597.338867	-127.182198
4608.105469	-128.441376
4618.872070	-127.710426
4629.638672	-127.462059
4640.405273	-129.617401
4651.171875	-127.715324
4661.938477	-126.890251
4672.705078	-128.528610
4683.471680	-127.672783
4694.238281	-127.483810
4705.004883	-128.394470
4715.771484	-127.841331
4726.538086	-128.974808
4737.304688	-129.167191
4748.071289	-127.402458
4758.837891	-127.782074
4769.604492	-128.487869
4780.371094	-128.625885
4791.137695	-129.527420
4801.904297	-128.527237
4812.670898	-127.814766
4823.437500	-128.605453
4834.204102	-128.228943
4844.970703	-127.537262
4855.737305	-128.574570
4866.503906	-129.376328
4877.270508	-129.186996
4888.037109	-129.018021
4898.803711	-128.183136
4909.570312	-127.704391
4920.336914	-129.408020
4931.103516	-129.090042
4941.870117	-127.764648
4952.636719	-128.061172
4963.403320	-127.702980
4974.169922	-128.621521
4984.936523	-129.608414
4995.703125	-127.558006
5006.469727	-128.041901
5017.236328	-129.899506
5028.002930	-129.227661
5038.769531	-129.224640
5049.536133	-129.636734
5060.302734	-128.204895
5071.069336	-128.760468
5081.835938	-129.168198
