Frequency (Hz)	Level (dB)
4651.171875	-40.412296
4694.238281	-40.759407
4737.304688	-40.644272
4780.371094	-40.188446
4823.437500	-40.705093
4866.503906	-40.765022
4909.570312	-40.806652
4952.636719	-40.772572
4995.703125	-40.745911
5038.769531	-40.944149
5081.835938	-41.017292
5124.902344	-41.107742
5167.968750	-41.069832
5211.035156	-41.084332
5254.101562	-41.084511
5297.167969	-40.990871
5340.234375	-41.119427
5383.300781	-41.090092
5426.367188	-40.916946
5469.433594	-41.185581
5512.500000	-41.446205
5555.566406	-41.565258
5598.632812	-41.128674
5641.699219	-41.302841
5684.765625	-41.557381
5727.832031	-41.298923
5770.898438	-41.299080
5813.964844	-41.552589
5857.031250	-41.631268
5900.097656	-41.770760
5943.164062	-41.797623
5986.230469	-41.594208
6029.296875	-41.646957
6072.363281	-41.657543
6115.429688	-41.718246
6158.496094	-41.765213
6201.562500	-42.090347
6244.628906	-42.035206
6287.695312	-41.904713
6330.761719	-42.060398
6373.828125	-42.112347
6416.894531	-42.362869
6459.960938	-42.154655
6503.027344	-42.037968
6546.093750	-42.163822
6589.160156	-42.281990
6632.226562	-42.192638
6675.292969	-42.331673
6718.359375	-42.328667
6761.425781	-42.512066
6804.492188	-42.498226
6847.558594	-42.482998
6890.625000	-42.518200
6933.691406	-42.575451
6976.757812	-42.564243
7019.824219	-42.572929
7062.890625	-42.820381
7105.957031	-42.928024
7149.023438	-42.713673
7192.089844	-42.696980
7235.156250	-42.760502
7278.222656	-42.795559
7321.289062	-42.627480
7364.355469	-42.688110
7407.421875	-42.763115
7450.488281	-42.472336
7493.554688	-42.526424
7536.621094	-42.552532
7579.687500	-42.546947
7622.753906	-42.730423
7665.820312	-42.618484
7708.886719	-42.809246
7751.953125	-43.049503
7795.019531	-43.131294
7838.085938	-43.133934
7881.152344	-43.013844
7924.218750	-43.121532
7967.285156	-43.175587
8010.351562	-43.204151
8053.417969	-43.236862
8096.484375	-43.226048
8139.550781	-43.080666
8182.617188	-43.269081
8225.683594	-43.392193
8268.750000	-43.355637
8311.816406	-43.261631
8354.882812	-43.246918
8397.949219	-43.278358
8441.015625	-43.214367
8484.082031	-43.365585
8527.148438	-43.427769
8570.214844	-43.496330
8613.281250	-43.490711
8656.347656	-43.366745
8699.414062	-43.452255
8742.480469	-43.866798
8785.546875	-44.017960
8828.613281	-43.632191
8871.679688	-43.369370
8914.746094	-43.467335
8957.812500	-43.450409
9000.878906	-43.448112
9043.945312	-43.678211
9087.011719	-43.602776
9130.078125	-43.378056
9173.144531	-43.480526
9216.210938	-43.403694
9259.277344	-43.585457
9302.343750	-43.625198
9345.410156	-43.725925
9388.476562	-43.771896
9431.542969	-43.573933
9474.609375	-43.905239
9517.675781	-44.259655
9560.742188	-43.851234
9603.808594	-43.521477
9646.875000	-43.988197
9689.941406	-44.135983
9733.007812	-43.926121
9776.074219	-43.715893
9819.140625	-43.664703
9862.207031	-43.903481
9905.273438	-43.753059
9948.339844	-43.718678
9991.406250	-43.849392
10034.472656	-44.071278
10077.539062	-44.082298
10120.605469	-43.868813
10163.671875	-43.622383
10206.738281	-43.840862
10249.804688	-43.969685
10292.871094	-44.145611
10335.937500	-44.198399
10379.003906	-44.172272
10422.070312	-44.167675
10465.136719	-43.999363
10508.203125	-44.032558
10551.269531	-44.028625
10594.335938	-44.067108
10637.402344	-44.269833
10680.468750	-44.409966
10723.535156	-44.026867
10766.601562	-44.190083
10809.667969	-44.138794
10852.734375	-44.132038
10895.800781	-44.029594
10938.867188	-44.094002
10981.933594	-44.299076
11025.000000	-44.316376
11068.066406	-44.354595
11111.132812	-44.404167
11154.199219	-44.198921
11197.265625	-43.919685
11240.332031	-44.173950
11283.398438	-44.252102
11326.464844	-44.193649
11369.531250	-44.301277
11412.597656	-44.452885
11455.664062	-44.591805
11498.730469	-44.488094
11541.796875	-44.300304
11584.863281	-44.460659
11627.929688	-44.671066
11670.996094	-44.385502
11714.062500	-44.469158
11757.128906	-44.579453
11800.195312	-44.724094
11843.261719	-44.624363
11886.328125	-44.673965
11929.394531	-44.537865
11972.460938	-44.473198
12015.527344	-44.579468
12058.593750	-44.376148
12101.660156	-44.483158
12144.726562	-44.592365
12187.792969	-44.661274
12230.859375	-44.539719
12273.925781	-44.552238
12316.992188	-44.532295
12360.058594	-44.474262
12403.125000	-44.428432
12446.191406	-44.455040
12489.257812	-44.638859
12532.324219	-44.489681
12575.390625	-44.914688
12618.457031	-44.801773
12661.523438	-44.430965
12704.589844	-44.566509
12747.656250	-44.400616
12790.722656	-44.412651
12833.789062	-44.373943
12876.855469	-44.516788
12919.921875	-44.559879
12962.988281	-44.744602
13006.054688	-44.699059
13049.121094	-44.871574
13092.187500	-44.921097
13135.253906	-45.172657
13178.320312	-45.099518
13221.386719	-44.775059
13264.453125	-44.734688
13307.519531	-44.715435
13350.585938	-44.726009
13393.652344	-44.920101
13436.718750	-44.937401
13479.785156	-44.863068
13522.851562	-44.797962
13565.917969	-44.671909
13608.984375	-44.995762
13652.050781	-44.827980
13695.117188	-44.975952
13738.183594	-44.785397
13781.250000	-44.766674
13824.316406	-44.977577
13867.382812	-44.669121
13910.449219	-45.062408
13953.515625	-45.020943
13996.582031	-44.684513
14039.648438	-44.517349
14082.714844	-44.881924
14125.781250	-45.146183
14168.847656	-45.002819
14211.914062	-44.959148
14254.980469	-44.914803
14298.046875	-44.763184
14341.113281	-44.750626
14384.179688	-44.645439
14427.246094	-44.815273
14470.312500	-45.040054
14513.378906	-45.180447
14556.445312	-44.962959
14599.511719	-44.803234
14642.578125	-44.883072
14685.644531	-45.058136
14728.710938	-45.152210
14771.777344	-44.982475
14814.843750	-45.006954
14857.910156	-45.105701
14900.976562	-45.160553
14944.042969	-44.852100
14987.109375	-45.089199
15030.175781	-44.916714
15073.242188	-45.023418
15116.308594	-45.199936
15159.375000	-45.058334
15202.441406	-44.893803
15245.507812	-45.051582
15288.574219	-45.267269
15331.640625	-45.459293
15374.707031	-45.306484
15417.773438	-45.045765
15460.839844	-45.173962
15503.906250	-45.005730
15546.972656	-44.642525
15590.039062	-44.796989
15633.105469	-45.031715
15676.171875	-45.400040
15719.238281	-45.427055
15762.304688	-45.322159
15805.371094	-45.148766
15848.437500	-45.299068
15891.503906	-45.067280
15934.570312	-44.885593
15977.636719	-45.031563
16020.703125	-45.037167
16063.769531	-45.144871
16106.835938	-45.002293
16149.902344	-45.309723
16192.968750	-45.265182
16236.035156	-45.296295
16279.101562	-45.069557
16322.167969	-45.232059
16365.234375	-45.372921
16408.300781	-45.242577
16451.367188	-45.072556
16494.433594	-45.292347
16537.500000	-45.333755
16580.566406	-45.366955
16623.632812	-45.289295
16666.699219	-45.341751
16709.765625	-45.161045
16752.832031	-45.057709
16795.898438	-44.832508
16838.964844	-45.027889
16882.031250	-45.134838
16925.097656	-45.119602
16968.164062	-45.113628
17011.230469	-45.201214
17054.296875	-45.412689
17097.363281	-45.420937
17140.429688	-45.199177
17183.496094	-45.248417
17226.562500	-45.575062
17269.628906	-45.290539
17312.695312	-45.148270
17355.761719	-45.304638
17398.828125	-45.114471
17441.894531	-45.253670
17484.960938	-45.022240
17528.027344	-45.225212
17571.093750	-45.517021
17614.160156	-45.239910
17657.226562	-45.291332
17700.292969	-45.327908
17743.359375	-45.308292
17786.425781	-45.190350
17829.492188	-45.286091
17872.558594	-45.381538
17915.625000	-45.565716
17958.691406	-45.584358
18001.757812	-45.516369
18044.824219	-45.433037
18087.890625	-45.276253
18130.957031	-45.218357
18174.023438	-45.295082
18217.089844	-45.369026
18260.156250	-45.771332
18303.222656	-45.680622
18346.289062	-45.374481
18389.355469	-45.045689
18432.421875	-45.104366
18475.488281	-45.448109
18518.554688	-45.557384
18561.621094	-45.453430
18604.687500	-45.483788
18647.753906	-45.594402
18690.820312	-45.342026
18733.886719	-45.352039
18776.953125	-45.445381
18820.019531	-45.228287
18863.085938	-45.398853
18906.152344	-45.515331
18949.218750	-45.656681
18992.285156	-45.474648
19035.351562	-45.310184
19078.417969	-45.301975
19121.484375	-45.695557
19164.550781	-45.649498
19207.617188	-45.433903
19250.683594	-45.436317
19293.750000	-45.339809
19336.816406	-45.332253
19379.882812	-45.533939
19422.949219	-45.598221
19466.015625	-45.460888
19509.082031	-45.266712
19552.148438	-45.576073
19595.214844	-45.500660
19638.281250	-45.432526
19681.347656	-45.019897
19724.414062	-45.191662
19767.480469	-45.439316
19810.546875	-45.278053
19853.613281	-45.407261
19896.679688	-45.310776
19939.746094	-45.331417
19982.812500	-45.476616
20025.878906	-45.555027
20068.945312	-45.327030
20112.011719	-45.277615
20155.078125	-45.538712
20198.144531	-45.573914
20241.210938	-45.461288
20284.277344	-45.240868
20327.343750	-45.272182
20370.410156	-45.481155
20413.476562	-45.538540
20456.542969	-45.151546
20499.609375	-45.267159
20542.675781	-45.444153
20585.742188	-45.536209
20628.808594	-45.522297
20671.875000	-45.272972
20714.941406	-45.433689
20758.007812	-45.512787
20801.074219	-45.818317
20844.140625	-45.681194
20887.207031	-45.268291
20930.273438	-45.183289
20973.339844	-45.395081
21016.406250	-45.483990
21059.472656	-45.406570
21102.539062	-45.538433
21145.605469	-45.295166
21188.671875	-45.415596
21231.738281	-45.279972
21274.804688	-45.201340
21317.871094	-45.548347
21360.937500	-45.527451
21404.003906	-45.337280
21447.070312	-45.520985
21490.136719	-45.795391
21533.203125	-45.865383
21576.269531	-45.647827
21619.335938	-45.392094
21662.402344	-45.378952
21705.468750	-45.488129
21748.535156	-45.530647
21791.601562	-45.519573
21834.667969	-45.393631
21877.734375	-45.465813
21920.800781	-45.552452
21963.867188	-45.781139
22006.933594	-45.679047
