Frequency (Hz)	Level (dB)
15805.371094	-42.967262
15848.437500	-44.145569
15891.503906	-43.078354
15934.570312	-41.586964
15977.636719	-41.064663
16020.703125	-41.557331
16063.769531	-43.005146
16106.835938	-44.080124
16149.902344	-42.950768
16192.968750	-41.501938
16236.035156	-40.991165
16279.101562	-41.475578
16322.167969	-42.882984
16365.234375	-44.010197
16408.300781	-42.984219
16451.367188	-41.519775
16494.433594	-40.922989
16537.500000	-41.304657
16580.566406	-42.605469
16623.632812	-43.898659
16666.699219	-43.170341
16709.765625	-41.657501
16752.832031	-40.887207
16795.898438	-41.076752
16838.964844	-42.188400
16882.031250	-43.647686
16925.097656	-43.469238
16968.164062	-41.947880
17011.230469	-40.939171
17054.296875	-40.847137
17097.363281	-41.681416
17140.429688	-43.155998
17183.496094	-43.733887
17226.562500	-42.427448
17269.628906	-41.155556
17312.695312	-40.696381
17355.761719	-41.165749
17398.828125	-42.423809
17441.894531	-43.674957
17484.960938	-43.078239
17528.027344	-41.606571
17571.093750	-40.736900
17614.160156	-40.742996
17657.226562	-41.615444
17700.292969	-43.054131
17743.359375	-43.596008
17786.425781	-42.347794
17829.492188	-41.087166
17872.558594	-40.553867
17915.625000	-40.916836
17958.691406	-42.035378
18001.757812	-43.394646
18044.824219	-43.241478
18087.890625	-41.812374
18130.957031	-40.771595
18174.023438	-40.492825
18217.089844	-41.086143
18260.156250	-42.338577
18303.222656	-43.478348
18346.289062	-42.890663
18389.355469	-41.476234
18432.421875	-40.582829
18475.488281	-40.465973
18518.554688	-41.176659
18561.621094	-42.480293
18604.687500	-43.441166
18647.753906	-42.666039
18690.820312	-41.295940
18733.886719	-40.471924
18776.953125	-40.417767
18820.019531	-41.156887
18863.085938	-42.455811
18906.152344	-43.372631
18949.218750	-42.597904
18992.285156	-41.246819
19035.351562	-40.418480
19078.417969	-40.328434
19121.484375	-41.021347
19164.550781	-42.272438
19207.617188	-43.283329
19250.683594	-42.679047
19293.750000	-41.328827
19336.816406	-40.430023
19379.882812	-40.211800
19422.949219	-40.786354
19466.015625	-41.935886
19509.082031	-43.110191
19552.148438	-42.872845
19595.214844	-41.564705
19638.281250	-40.538422
19681.347656	-40.127666
19724.414062	-40.540314
19767.480469	-41.719048
19810.546875	-43.919495
19853.613281	-47.335903
19896.679688	-51.861298
19939.746094	-57.230972
19982.812500	-63.139481


